,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price
0,5.0,3.0,1998.685661204493,Expensive Area,Fair,1223983.1753721775
1,5.0,2.0,1744.694279531526,Expensive Area,Poor,1125837.2898805377
2,5.0,3.0,1809.8040697035767,Low-Cost,Good,1078207.7480883868
3,3.0,2.0,1706.345217220328,Middle Class,Poor,978101.640323593
4,4.0,4.0,2431.685126202957,Low-Cost,Good,1232879.3814175944
5,4.0,3.0,2106.973891661164,Low-Cost,Poor,1050162.491048016
6,4.0,3.0,2017.024017434385,Low-Cost,Good,1015060.9495977124
7,4.0,3.0,1614.632922875015,Middle Class,Poor,936264.9247736008
8,3.0,2.0,1613.7080985718972,Middle Class,Poor,1023908.9981114405
9,3.0,3.0,1896.7849086264137,Low-Cost,Poor,974245.587075367
10,2.0,2.0,1034.687902136881,Middle Class,Good,702038.9508978078
11,2.0,3.0,1110.032866994787,Low-Cost,Good,596760.4520801879
12,4.0,2.0,1575.084988303611,Low-Cost,Poor,765892.5204757253
13,2.0,2.0,1394.8675518662303,Low-Cost,Poor,1004516.6064958775
14,4.0,2.0,1925.698933038109,Middle Class,Good,1036229.4039567652
15,3.0,2.0,1436.7903697915156,Middle Class,Good,820141.2689984632
16,2.0,2.0,1235.0785194658831,Expensive Area,Poor,885578.5607949934
17,4.0,3.0,2386.2595075686218,Low-Cost,Poor,1208779.3656568504
18,3.0,2.0,1709.6894798053856,Low-Cost,Poor,835806.534409568
19,4.0,2.0,1827.0112818751693,Middle Class,Fair,998364.34895766
20,2.0,2.0,1230.1007255146174,Middle Class,Good,671998.6977574804
21,4.0,2.0,1582.246910189927,Middle Class,Fair,904409.2219016
22,3.0,4.0,1844.3690358839465,Low-Cost,Good,929817.726798255
23,3.0,2.0,1339.602569031079,Expensive Area,Good,889398.0241012416
24,3.0,2.0,1950.2792073382689,Low-Cost,Good,956581.3207360512
25,2.0,2.0,1559.744524032478,Low-Cost,Good,842083.9691011414
26,4.0,1.0,1683.3225000826892,Middle Class,Good,961896.5670086496
27,4.0,2.0,1559.3173551082411,Low-Cost,Good,802273.152928946
28,5.0,3.0,2540.911273803575,Low-Cost,Good,1332840.564063662
29,4.0,3.0,1794.6011101048264,Middle Class,Fair,1020606.164862994
30,4.0,2.0,1376.91562841764,Expensive Area,Poor,1004516.6064958775
31,5.0,3.0,2129.0179648412754,Middle Class,Poor,1273600.068697408
32,3.0,2.0,1311.662540011591,Middle Class,Fair,738857.4433554899
33,4.0,2.0,1883.545438001902,Middle Class,Fair,1004516.6064958775
34,2.0,2.0,1809.8040697035767,Middle Class,Fair,647158.2022290753
35,2.0,2.0,1268.7255804406277,Middle Class,Fair,719883.2512350862
36,4.0,4.0,1878.7444943476487,Middle Class,Good,1071325.5685591823
37,3.0,2.0,2095.3866319981644,Expensive Area,Poor,1163270.3070186933
38,4.0,2.0,1868.5473124759883,Expensive Area,Good,1127554.2625819985
39,3.0,3.0,1753.7406870447037,Middle Class,Poor,1042059.056747411
40,4.0,1.0,1679.5585217642845,Low-Cost,Poor,805775.3473662998
41,2.0,2.0,1208.5912038530291,Middle Class,Fair,703592.6254340458
42,3.0,2.0,1512.0623166421165,Low-Cost,Good,821794.6591514152
43,4.0,2.0,1615.744491616085,Middle Class,Poor,913695.7794898668
44,4.0,2.0,2222.848890487566,Middle Class,Good,1207853.1546068967
45,5.0,2.0,1937.4473158273845,Expensive Area,Poor,1118979.4862779167
46,4.0,2.0,1929.633587757918,Low-Cost,Fair,971720.7865409268
47,4.0,2.0,1645.9670878334734,Expensive Area,Poor,1034257.0893954588
48,3.0,2.0,1529.2311998776163,Expensive Area,Poor,972775.62149187
49,3.0,3.0,2044.6705155363472,Expensive Area,Poor,1268788.641251915
50,4.0,4.0,2212.39980899838,Expensive Area,Fair,1004516.6064958775
51,3.0,3.0,1809.8040697035767,Low-Cost,Good,1108404.310938381
52,4.0,2.0,1464.3129907109446,Low-Cost,Fair,773772.3748672452
53,3.0,1.0,1676.3150496595142,Middle Class,Good,900746.7835624608
54,4.0,2.0,1932.5053725614257,Middle Class,Fair,1068781.932956492
55,3.0,3.0,2190.218050848944,Expensive Area,Fair,1252736.0805778538
56,4.0,2.0,1725.7364093344731,Expensive Area,Good,1090109.3102687516
57,3.0,3.0,1357.466010397589,Middle Class,Poor,776663.4277205257
58,3.0,1.0,1321.5173503677318,Middle Class,Fair,780879.1644993506
59,5.0,4.0,2125.010328957679,Middle Class,Poor,1238768.1000511516
60,4.0,3.0,2342.496011428329,Middle Class,Poor,1256581.149333016
61,5.0,2.0,1771.1959513678664,Middle Class,Good,942382.531145282
62,3.0,2.0,1944.6544100190536,Middle Class,Good,1093004.3209054072
63,4.0,3.0,1944.5582422033656,Expensive Area,Good,1141072.1420226672
64,5.0,4.0,2415.214626586388,Expensive Area,Poor,1004516.6064958775
65,3.0,2.0,1785.6695843560194,Expensive Area,Fair,1082769.9137553454
66,5.0,3.0,2425.8574623256027,Middle Class,Good,1339037.8650925625
67,5.0,2.0,2128.7610017500897,Middle Class,Poor,1004516.6064958775
68,4.0,1.0,1834.8188272952684,Low-Cost,Good,905915.727811556
69,4.0,2.0,1680.397059813653,Expensive Area,Fair,997506.3713811887
70,4.0,3.0,1836.704310614201,Middle Class,Fair,1100978.2104604736
71,3.0,2.0,1712.131244864995,Middle Class,Fair,980973.8158140128
72,3.0,2.0,1942.8450286046989,Expensive Area,Fair,1173919.744429788
73,3.0,2.0,1592.6919126905411,Middle Class,Poor,792762.751329202
74,4.0,1.0,1476.6025588427249,Low-Cost,Good,768583.0541893245
75,2.0,1.0,1599.2971825661853,Middle Class,Fair,855957.8639630559
76,4.0,3.0,2166.1608470808296,Low-Cost,Poor,1073661.3253644696
77,5.0,2.0,1931.500443863874,Middle Class,Poor,1077905.978190391
78,4.0,2.0,1588.0959184931844,Low-Cost,Good,793271.969587139
79,4.0,1.0,2005.3069732453423,Low-Cost,Fair,1025018.5196142512
80,4.0,3.0,1838.831019739216,Middle Class,Poor,1024535.4399636956
81,4.0,3.0,2187.457996213156,Middle Class,Good,1206390.8879721053
82,2.0,2.0,1519.178762449059,Middle Class,Good,776129.0792484608
83,3.0,2.0,1668.9351413608929,Middle Class,Poor,912253.6644012794
84,3.0,3.0,1809.8040697035767,Low-Cost,Poor,868021.3464804698
85,2.0,3.0,1214.5940207471526,Middle Class,Good,718320.199637543
86,4.0,2.0,1918.4481108258303,Expensive Area,Fair,1158440.5687953408
87,4.0,2.0,1904.422108871956,Expensive Area,Poor,1080610.5585849774
88,5.0,2.0,1802.0453826569844,Expensive Area,Poor,1093711.8095820353
89,4.0,2.0,1706.165146649941,Expensive Area,Fair,1094942.185964222
90,3.0,1.0,1233.8517031798342,Expensive Area,Poor,752223.3266927581
91,4.0,2.0,1631.7418708938565,Low-Cost,Fair,822951.4927864899
92,4.0,3.0,1662.9141933892922,Expensive Area,Fair,1054728.622514949
93,3.0,2.0,1479.0890923113525,Expensive Area,Fair,924977.5449982968
94,3.0,2.0,1735.4857153335963,Expensive Area,Good,1050487.4748783251
95,4.0,1.0,1961.620342725816,Expensive Area,Poor,1149404.7681310468
96,5.0,2.0,2554.474360484212,Middle Class,Good,1377555.1062747485
97,3.0,1.0,1903.0201562891057,Expensive Area,Fair,1100653.630037953
98,4.0,2.0,1770.221633693533,Expensive Area,Good,1063362.0055235336
99,2.0,1.0,1032.4915138803835,Expensive Area,Poor,696798.3922822545
100,4.0,2.0,1789.3944498203132,Middle Class,Fair,971223.9604659972
101,4.0,2.0,1824.0920839764103,Middle Class,Poor,1000862.4253979076
102,5.0,4.0,1809.8040697035767,Low-Cost,Poor,1387147.701107232
103,3.0,2.0,1723.055614087551,Middle Class,Fair,982587.4464180073
104,4.0,2.0,1920.618936933445,Expensive Area,Poor,1129667.086701442
105,4.0,2.0,1786.1152921179028,Middle Class,Poor,1002571.7950726352
106,2.0,2.0,1332.5287849521872,Middle Class,Poor,699060.6035429969
107,4.0,2.0,1809.8040697035767,Middle Class,Good,1004516.6064958775
108,4.0,3.0,2116.4127788172186,Middle Class,Fair,1173345.160384819
109,4.0,2.0,1436.2450180821045,Low-Cost,Good,766025.2485303191
110,5.0,3.0,2361.11772437444,Middle Class,Good,1314786.530482669
111,2.0,2.0,1239.2595748830877,Low-Cost,Good,628602.2175802941
112,3.0,2.0,2034.742837520108,Middle Class,Good,1110027.4508293313
113,5.0,3.0,2676.1822503239914,Low-Cost,Poor,1337495.6123182788
114,3.0,2.0,1403.7854699477248,Low-Cost,Fair,747867.7759031013
115,4.0,2.0,1573.4809081588912,Low-Cost,Good,840527.4331918927
116,4.0,3.0,1839.8605460350568,Middle Class,Poor,1005874.0846544376
117,4.0,2.0,1598.6097383535202,Middle Class,Poor,935953.8457443352
118,3.0,1.0,1179.734627573547,Middle Class,Poor,661801.6790546747
119,4.0,3.0,1827.425189922411,Low-Cost,Good,982583.0694135192
120,2.0,2.0,1375.078514509558,Middle Class,Poor,793803.9509313414
121,3.0,2.0,1432.2303063064787,Low-Cost,Good,736799.6583667599
122,3.0,2.0,2419.973762007016,Expensive Area,Good,1359508.689019611
123,3.0,2.0,1486.698683065505,Low-Cost,Poor,757431.8192028453
124,4.0,2.0,1671.1753935177298,Middle Class,Fair,931933.53359795
125,4.0,3.0,2125.406886947868,Low-Cost,Good,1116431.356184802
126,2.0,1.0,1307.6542734264178,Expensive Area,Poor,761955.1047887905
127,4.0,3.0,1890.983973841652,Low-Cost,Poor,945332.3156543528
128,4.0,3.0,2322.857101712971,Middle Class,Poor,1219251.608123461
129,3.0,2.0,1157.006706175509,Expensive Area,Good,786162.2455381863
130,3.0,3.0,1873.8535434129217,Middle Class,Poor,1090552.4957132724
131,4.0,3.0,2112.729148710924,Expensive Area,Poor,1231663.4652242155
132,3.0,1.0,1271.8173547662896,Low-Cost,Good,684174.158723076
133,4.0,3.0,2008.776626246759,Middle Class,Poor,1082128.8877853244
134,5.0,2.0,1918.7938692932744,Low-Cost,Good,999608.310664017
135,4.0,3.0,1900.1971401383507,Low-Cost,Fair,1015344.6419557309
136,4.0,3.0,1809.8040697035767,Expensive Area,Fair,1178393.502807651
137,3.0,2.0,1527.9901113686035,Low-Cost,Good,792282.998613834
138,5.0,1.0,1892.9014788644013,Expensive Area,Poor,1138837.048265995
139,4.0,3.0,1917.2289893194725,Expensive Area,Fair,1072656.0764037855
140,3.0,3.0,1514.2594327894528,Expensive Area,Poor,972753.004341181
141,5.0,3.0,2546.309804457903,Middle Class,Fair,1352217.1415122335
142,4.0,2.0,1989.533168364715,Middle Class,Good,1034370.9388584282
143,3.0,1.0,1323.4786011189406,Middle Class,Good,767901.4484892727
144,4.0,3.0,2062.621443453532,Middle Class,Good,1265389.4059089778
145,3.0,2.0,1410.1273319090717,Middle Class,Fair,804433.8439202514
146,3.0,3.0,2114.8338414969808,Middle Class,Poor,1171261.4650897295
147,5.0,4.0,2263.4382316029614,Low-Cost,Poor,1229915.5519609922
148,2.0,2.0,1471.7270726593158,Middle Class,Poor,855724.6163042135
149,5.0,2.0,2185.3504516977287,Middle Class,Fair,1004516.6064958775
150,4.0,3.0,1965.1123707746,Expensive Area,Fair,1197564.3915807265
151,4.0,1.0,2128.824063997796,Expensive Area,Fair,1004516.6064958775
152,4.0,3.0,2558.717193061579,Expensive Area,Fair,1394363.7625207957
153,3.0,2.0,1498.5055342570042,Expensive Area,Poor,898030.0925561662
154,2.0,2.0,1444.194228149791,Expensive Area,Fair,954015.6841923402
155,2.0,2.0,1473.6758860138248,Middle Class,Fair,838877.574333251
156,4.0,2.0,1769.1593162343584,Expensive Area,Poor,1063817.836508996
157,5.0,3.0,1936.4607899266573,Expensive Area,Fair,1193951.91674821
158,3.0,2.0,1910.676319732008,Low-Cost,Poor,950112.417270577
159,4.0,3.0,2130.873299614409,Middle Class,Poor,1215744.5160394069
160,3.0,2.0,1805.2007567511628,Middle Class,Good,972660.8596859896
161,4.0,3.0,2381.4136308629268,Middle Class,Good,1293474.3575454345
162,3.0,3.0,2050.2669391060026,Expensive Area,Fair,1180267.0498705425
163,3.0,1.0,1457.1369774334871,Low-Cost,Poor,731600.5359336168
164,4.0,2.0,1371.643000775555,Expensive Area,Poor,890360.2836134819
165,4.0,3.0,1992.9889660972744,Low-Cost,Fair,1007072.4053475576
166,4.0,2.0,1710.6148858696597,Middle Class,Good,921587.1747311918
167,5.0,3.0,2085.600197636837,Expensive Area,Poor,1237026.9217577158
168,5.0,2.0,1989.2950498294176,Low-Cost,Poor,974041.161202308
169,4.0,2.0,1770.8684349372509,Low-Cost,Fair,928692.474632451
170,3.0,1.0,1461.282512772638,Expensive Area,Good,1004516.6064958775
171,3.0,1.0,1621.3940191731915,Middle Class,Poor,867351.0363164403
172,4.0,3.0,2142.559517729389,Middle Class,Fair,1152587.0908105075
173,2.0,3.0,1885.6374976520813,Low-Cost,Poor,954112.109256012
174,2.0,2.0,1301.7044885152047,Low-Cost,Fair,704980.5332125365
175,3.0,2.0,1446.4570255195467,Middle Class,Fair,820101.6776167969
176,5.0,2.0,1823.2834873784,Low-Cost,Fair,950873.4681674108
177,2.0,2.0,1342.8118808677507,Low-Cost,Poor,655706.2664383233
178,4.0,3.0,1943.114944139313,Middle Class,Poor,1085830.1067926926
179,2.0,1.0,2024.313810547293,Expensive Area,Poor,1099060.4390421775
180,5.0,3.0,2233.2204972701106,Expensive Area,Good,1348229.4379295078
181,4.0,4.0,2221.520820813961,Middle Class,Good,1253323.7188264409
182,3.0,2.0,1248.9322528171635,Middle Class,Poor,788055.2343403138
183,4.0,2.0,1424.869984033951,Expensive Area,Fair,863371.6684008393
184,5.0,2.0,2006.014106883464,Low-Cost,Good,1010454.1450902448
185,4.0,3.0,2005.514380364884,Expensive Area,Poor,1143070.0393858128
186,2.0,3.0,2006.0190745224195,Middle Class,Fair,1029614.3932474104
187,5.0,3.0,2028.356204277267,Middle Class,Fair,1066774.0914551143
188,3.0,4.0,2254.22625607224,Middle Class,Fair,1247663.565929406
189,4.0,2.0,2181.6007053972808,Middle Class,Fair,1123284.5963678122
190,5.0,2.0,2060.55650052232,Middle Class,Fair,1158101.5746573273
191,4.0,2.0,1673.8923021438618,Expensive Area,Good,1012759.7044142346
192,5.0,2.0,2103.587688197307,Middle Class,Good,1262018.2500483547
193,4.0,2.0,1705.2725573039966,Middle Class,Poor,978277.8302627644
194,3.0,2.0,1605.8545808683589,Low-Cost,Good,813578.6419535865
195,4.0,3.0,1832.749655754529,Low-Cost,Fair,929001.5783270794
196,2.0,1.0,1053.0939229633009,Low-Cost,Fair,509317.6657562127
197,5.0,3.0,2074.5040761498053,Middle Class,Poor,1148192.9271025814
198,2.0,1.0,1154.9136515241394,Low-Cost,Fair,547095.7573713271
199,3.0,3.0,1611.2272536842263,Middle Class,Fair,917114.5551451328
200,4.0,2.0,2235.580238786946,Middle Class,Fair,1197316.6639428888
201,3.0,2.0,1825.712007638185,Expensive Area,Poor,1063824.723982941
202,3.0,1.0,1368.9020888282776,Middle Class,Good,1004516.6064958775
203,2.0,2.0,1513.8785162960128,Expensive Area,Good,930304.9724922077
204,4.0,2.0,2071.8390995738705,Middle Class,Poor,1129585.814295324
205,3.0,1.0,1507.8533473131454,Middle Class,Fair,797822.03396763
206,2.0,3.0,1886.58343583279,Middle Class,Good,1077290.5175171436
207,2.0,2.0,1818.2287359615248,Expensive Area,Poor,1049245.2872141586
208,3.0,2.0,1539.3598609576732,Expensive Area,Poor,952277.4261192984
209,5.0,2.0,2053.5676089272047,Expensive Area,Fair,1215101.907955147
210,4.0,3.0,1874.581725907771,Expensive Area,Poor,1138175.5016145515
211,3.0,1.0,1535.2854140926447,Middle Class,Good,909505.315102477
212,4.0,2.0,1809.8040697035767,Low-Cost,Good,1088283.1060195034
213,3.0,2.0,1482.9917046269195,Expensive Area,Good,892034.4808624941
214,4.0,2.0,1754.1054234132405,Middle Class,Good,986604.231709254
215,4.0,2.0,2001.994911592183,Middle Class,Poor,1004516.6064958775
216,4.0,3.0,2146.3020776680487,Expensive Area,Fair,1250592.4292324455
217,3.0,2.0,1319.8814371776896,Expensive Area,Poor,839090.5213867924
218,4.0,2.0,1666.1995056636206,Middle Class,Poor,877334.3061837
219,3.0,2.0,1610.0218755356177,Middle Class,Poor,1004516.6064958775
220,3.0,1.0,1538.6683069705152,Low-Cost,Fair,767186.0851709653
221,4.0,3.0,1961.9926843843823,Middle Class,Good,1068066.4537451935
222,4.0,1.0,1295.646418265982,Expensive Area,Good,858012.123445633
223,4.0,2.0,1809.8040697035767,Middle Class,Fair,1138229.905023425
224,5.0,3.0,2648.8624788050533,Low-Cost,Good,1372071.831478076
225,4.0,4.0,2212.986104220459,Middle Class,Fair,1241659.5777553571
226,3.0,2.0,1192.2520136183946,Expensive Area,Good,1004516.6064958775
227,4.0,2.0,1606.3063708534994,Expensive Area,Good,1050097.19366236
228,5.0,3.0,2306.764459674649,Middle Class,Poor,1223234.9019008975
229,2.0,2.0,1516.9322137524878,Expensive Area,Fair,949194.1213969196
230,4.0,3.0,1977.527771258492,Low-Cost,Poor,1045904.9666076103
231,3.0,1.0,1429.2278113687669,Middle Class,Poor,831926.474117875
232,2.0,3.0,1776.18985757528,Middle Class,Poor,972784.0404709076
233,3.0,2.0,1390.244943466284,Expensive Area,Good,892419.8797229645
234,3.0,2.0,1698.972739442736,Low-Cost,Poor,849508.4705051148
235,3.0,1.0,1300.88672721406,Low-Cost,Good,686723.2754411205
236,3.0,1.0,1809.8040697035767,Low-Cost,Fair,572118.5927699407
237,3.0,2.0,1809.8040697035767,Middle Class,Fair,943922.1996808876
238,4.0,3.0,2376.509315626446,Middle Class,Poor,1306405.5781621505
239,2.0,2.0,1225.6551395282245,Low-Cost,Fair,664345.9668925285
240,4.0,2.0,2265.265500861984,Middle Class,Poor,1170640.4824814368
241,4.0,3.0,1804.093224407835,Expensive Area,Good,1095517.5223448882
242,3.0,1.0,1407.3965395808195,Expensive Area,Poor,827157.3027567908
243,4.0,2.0,1984.8413897053083,Low-Cost,Good,1004516.6064958775
244,3.0,1.0,1879.623878229388,Expensive Area,Poor,1063589.7166776522
